Bernie Sanders,alabama, Apr 27,1
Bernie Sanders,aquitaine limousin poitou-charentes, Apr 27,1
Bernie Sanders,bayern, Apr 27,1
Bernie Sanders,british columbia, Apr 27,2
Bernie Sanders,california, Apr 27,11
Bernie Sanders,colorado, Apr 27,1
Bernie Sanders,connecticut, Apr 27,1
Bernie Sanders,district of columbia, Apr 27,1
Bernie Sanders,florida, Apr 27,4
Bernie Sanders,galway, Apr 27,2
Bernie Sanders,illinois, Apr 27,2
Bernie Sanders,indiana, Apr 27,1
Bernie Sanders,iowa, Apr 27,6
Bernie Sanders,kentucky, Apr 27,2
Bernie Sanders,louisiana, Apr 27,1
Bernie Sanders,magdalena, Apr 27,1
Bernie Sanders,maryland, Apr 27,2
Bernie Sanders,minnesota, Apr 27,1
Bernie Sanders,missouri, Apr 27,1
Bernie Sanders,nebraska, Apr 27,2
Bernie Sanders,nevada, Apr 27,1
Bernie Sanders,new south wales, Apr 27,1
Bernie Sanders,new territories, Apr 27,1
Bernie Sanders,new york, Apr 27,4
Bernie Sanders,nord-pas-de-calais picardie, Apr 27,2
Bernie Sanders,north carolina, Apr 27,3
Bernie Sanders,ohio, Apr 27,2
Bernie Sanders,ontario, Apr 27,2
Bernie Sanders,oregon, Apr 27,3
Bernie Sanders,pennsylvania, Apr 27,6
Bernie Sanders,puebla, Apr 27,1
Bernie Sanders,saitama-ken, Apr 27,1
Bernie Sanders,sichuan sheng, Apr 27,1
Bernie Sanders,south carolina, Apr 27,2
Bernie Sanders,tennessee, Apr 27,1
Bernie Sanders,texas, Apr 27,9
Bernie Sanders,valle del cauca, Apr 27,1
Bernie Sanders,vermont, Apr 27,1
Bernie Sanders,victoria, Apr 27,1
Bernie Sanders,virginia, Apr 27,1
Bernie Sanders,washington, Apr 27,1
Bernie Sanders,west virginia, Apr 27,3
Bernie Sanders,wyoming, Apr 27,1
Donald Trump,abia, Apr 25,1
Donald Trump,abruzzo, Apr 25,2
Donald Trump,alabama, Apr 25,3
Donald Trump,alaska, Apr 25,1
Donald Trump,arizona, Apr 25,13
Donald Trump,arkansas, Apr 25,2
Donald Trump,aseer province, Apr 25,1
Donald Trump,attica, Apr 25,1
Donald Trump,british columbia, Apr 25,1
Donald Trump,brussels, Apr 25,1
Donald Trump,buenos aires, Apr 25,1
Donald Trump,california, Apr 25,26
Donald Trump,cauca department, Apr 25,1
Donald Trump,connecticut, Apr 25,2
Donald Trump,district of columbia, Apr 25,2
Donald Trump,eastern cape, Apr 25,1
Donald Trump,england, Apr 25,4
Donald Trump,florida, Apr 25,19
Donald Trump,georgia, Apr 25,7
Donald Trump,giza governorate, Apr 25,1
Donald Trump,idaho, Apr 25,1
Donald Trump,illinois, Apr 25,10
Donald Trump,indiana, Apr 25,6
Donald Trump,iowa, Apr 25,5
Donald Trump,jutiapa, Apr 25,1
Donald Trump,kentucky, Apr 25,13
Donald Trump,kwazulu-natal, Apr 25,1
